Location,Price,Commission,TVA,Currency,Rooms,Size,Floor,Composition
Europa,225000,,False,True,3, 66.5, 2/7, Semidec
Iris,84448,,False,True,2, 46.4, 1/3, Semidec
Manastur,155000,,False,True,3, 64, Parter/4, Dec
Zorilor,263200,,False,True,4, 94, 10/14, Semidec
Central,158000,,False,True,2, 53, 1/7, Semidec
Zorilor,254000,,False,True,3, 79, Parter/10, Semidec
Gheorgheni,200000,,False,True,2, 45, 9/10, Semidec
Manastur,259000,,False,True,4, 96, 1/4, Dec
Buna Ziua,269000,,False,True,3, 71, Mansarda/9, Semidec
Manastur,219999,,False,True,4, 82, 5/8, Semidec
Manastur,145000,,False,True,3, 61, Parter/4, Dec
Europa,204000,,False,True,2, 68, 3/4, Semidec
Manastur,175000,,False,True,2, 53, 4/7, Semidec
Gheorgheni,171200,,False,True,3, 66, 8/10, Semidec
Plopilor,220000,,False,True,2, 56, 7/9, Dec
Gruia,125000,,False,True,2, 84, Parter/1, Semidec
Marasti,209000,,False,True,3, 69, 1/4, Dec
Sopor,129000,,False,True,1, 37, 6/7, Semidec
Manastur,180000,,False,True,4, 95, 4/4, Semidec
Sopor,350000,,False,True,3, 81, 6/6, Dec
Gheorgheni,185000,,False,True,3, 61, 1/4, Dec
Marasti,144980,,False,True,3, 65.26, 4/4, Dec
Marasti,232000,,False,True,3, 71, 3/4, Dec
Manastur,180000,,False,True,3, 67, 1/8, Dec
Manastur,179000,,False,True,3, 63.5, 6/9, Dec
Central,200000,,False,True,2, 49, 1/3, Semidec
Intre Lacuri,165000,,False,True,3, 65, Parter/4, Dec
Central,196700,,False,True,4, 92, 4/6, Semidec
Marasti,191400,,False,True,3, 87, 1/3, Semidec
Plopilor,341250,,False,True,4, 136, 1/10, Dec
Zorilor,195900,,False,True,3, 68, 3/4, Dec
Marasti,223430,,False,True,3, 70, 4/4, Semidec
Dambul Rotund,110000,,False,True,2, 45, 5/6, Semidec
Buna Ziua,269000,,False,True,3, 74, 8/9, Semidec
Grigorescu,165000,,False,True,3, 56, Parter/2, Semidec
Iris,163900,,False,True,3, 69, Parter/2, Semidec
Iris,290000,,False,True,4, 94.13, 10/10, Semidec
Marasti,85999,,False,True,1, 32, 4/4, Semidec
Central,129000,,True,True,2, 69, 3/6, Semidec
Semicentral,207900,,False,True,3, 93, 1/6, Dec
Iris,159000,,False,True,2, 50, 4/4, Dec
Manastur,134900,,False,True,3, 67, 9/9, Semidec
Marasti,214171,,False,True,2, 70, 2/4, Dec
Zorilor,112000,,False,True,1, 38, 1/3, Dec
